platform,sensitivity_x,version,sensitivity_y,level,playthrough,timestamp,userId,domain,_doc_id,music,unix_time,ab_group
WebGLPlayer,100,1.0,100,4,1,2026-02-26 04:06:52.339000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,IKMl1TAxGpBXSIbkBBMc,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-25 02:41:45.486000+00:00,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,KCaWITp5zJmdMBzMDuSc,,,
WebGLPlayer,100,1.2,100,5,1,,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,KUKZF1WEFvPvruFpEEcm,0.0,1773604763.0,1.0
WebGLPlayer,100,1.2,100,6,1,,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,NvHDPVoDEII5sdoFeMEP,0.0,1773605022.0,1.0
WebGLPlayer,100,1.0,100,4,1,2026-02-26 07:08:52.498000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,OvpeEdVTetpgqhBT3YI7,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-25 05:45:09.123000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,PdUMERzSEnyZzI6f0Tcy,,,
WebGLPlayer,100,1.0,100,6,1,2026-02-25 05:44:14.636000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Pqq4Lqahla3NSet63QnJ,,,
WebGLPlayer,100,1.0,100,6,1,2026-02-25 05:51:02.065000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,QVIfAF4jDGWjDDhtvIbJ,,,
WebGLPlayer,100,1.0,100,4,1,2026-02-26 06:59:15.598000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,ShG5MqOkJ77xTT6DMjnG,,,
WebGLPlayer,100,1.0,100,6,1,2026-02-25 05:52:56.139000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,SloHb67lqMuGJJHN6qmg,,,
