platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,timestamp
WebGLPlayer,0.0,100,1.2,100,4,1773604580.0,1,1.0,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,1emtcxMpflKgc9cmjKgx,
WebGLPlayer,,100,1.0,100,3,,1,,7df36adf-44de-4187-9323-696cee2fb545,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4YROL1HgCt5g4GutHvIr,2026-02-25 05:23:44.990000+00:00
WebGLPlayer,0.0,100,1.2,100,6,1773610516.0,1,1.0,d9ff913c-bfc2-467c-9042-9862e7cb4339,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,51nQYvm7krCHztm9VG9u,
WebGLPlayer,,100,1.0,100,4,,1,,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,7SkiYmZaL4UsUWEcd8C6,2026-02-26 03:47:44.338000+00:00
WebGLPlayer,,100,1.0,100,4,,2,,d0826227-0ba6-40a9-88b0-823d1c437007,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,AbzpLnqqF0POelMf5BMa,2026-02-26 00:26:11.512000+00:00
WebGLPlayer,,100,1.0,100,4,,1,,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,BJCERxJ9BRccbdVvz3sn,2026-02-26 04:01:38.678000+00:00
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,DaXv7GZmEegLYhYzd5l7,2026-02-25 04:28:20.704000+00:00
WebGLPlayer,,100,1.0,100,4,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,KXxB8eRq72Sp1LoFSU3T,2026-02-25 05:00:05.768000+00:00
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,UqODNIKdqo6FOn2LBywx,2026-02-25 04:26:39.627000+00:00
WebGLPlayer,,100,1.0,100,2,,1,,7df36adf-44de-4187-9323-696cee2fb545,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,UqjfgSzgD1bNfSbaCb7h,2026-02-25 05:22:53.331000+00:00
WebGLPlayer,,100,1.0,100,6,,1,,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,W62zvBb4vY1SmCFvDLL8,2026-02-25 05:53:45.335000+00:00
WebGLPlayer,,100,1.0,100,2,,1,,140c3497-a723-4a52-8bb9-582edf7fd8b9,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,a9K95NoHQjegD8HC5ZtB,2026-02-26 20:47:07.577000+00:00
WebGLPlayer,,100,1.0,100,6,,1,,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,cz5ElH6Bg7xhl5LPar2l,2026-02-25 05:51:58.861000+00:00
WebGLPlayer,0.0,17,1.2,14,6,1773257964.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,eYOiproIEiKkX9jbUJZQ,
WebGLPlayer,0.0,17,1.2,14,4,1773257072.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,ekDcyFQ46HLbnVzeJyWT,
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,giNaao19VlqGsArw6Tqt,2026-02-25 05:06:57.408000+00:00
WebGLPlayer,,100,1.0,100,2,,1,,ef62f788-2864-4fa4-a004-d90d2597b88f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,jlHcVDM4O5uZtsbNmnQj,2026-02-25 18:39:57.037000+00:00
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,jr095nBWZSwRPbtSyhOQ,2026-02-25 04:20:37.429000+00:00
WebGLPlayer,0.0,100,1.2,100,4,1773604498.0,1,1.0,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,kGVX4Mnb7LeFIcigZtUl,
WebGLPlayer,,100,1.0,100,4,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,mdXw2OHp2TJf0uUd1HVE,2026-02-25 04:57:12.347000+00:00
WebGLPlayer,,100,1.0,100,2,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,nW6Nz20W2XlZpU9VATOS,2026-02-25 03:59:33.576000+00:00
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,ncKtD3mEJSPuYL3yqrKR,2026-02-25 04:33:41.009000+00:00
