sensitivity_y,timestamp,time_spent,level,domain,flashlight_pct_on,playthrough,sensitivity_x,platform,userId,version,_doc_id,unix_time
100,1772512915337,31.7743683,0,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,22fc9907-0869-48e8-929a-ee8dadf3284f,1.1,9LxslHJjFU8FIgoAvMMH,1772512915.0
27,1772510877900,444.929,1,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,25,WebGLPlayer,de227f93-8632-4b43-89db-9eb7dfc925de,1.1,A5tPNOy6oNDuM2JFPNCH,1772510877.0
100,2026-02-25 04:45:59.120000+00:00,241.396744,3,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0142889759,1,100,WebGLPlayer,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,1.0,ATpgyqQDRsg1QC0xrt9l,
100,2026-02-25 03:57:46.555000+00:00,846.7189,1,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0,2,100,WebGLPlayer,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,1.0,AqVaG9zkOYXzA1hInNe7,
100,2026-02-28 00:18:38.539000+00:00,96.7229843,2,https://bmanske505.github.io/Escape-The-Forest/,0.0116194673,1,100,WebGLPlayer,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,1.0,B8muP5d9vsSnpZhJ3pV1,
100,1772649998643,46.03953,1,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0.0,1,100,WebGLPlayer,e0387235-a3d5-4ddd-8fa6-bda81981cc26,1.1,C2C0dMg1Jno6J7iwlnSD,1772649998.0
100,2026-02-26 00:11:25.757000+00:00,235.946335,1,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0.0,2,100,WebGLPlayer,d0826227-0ba6-40a9-88b0-823d1c437007,1.0,C4oMRZy9JAVyK2wNy9Lx,
100,2026-02-28 00:21:10.435000+00:00,151.921814,3,https://bmanske505.github.io/Escape-The-Forest/,0.0283415113,1,100,WebGLPlayer,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,1.0,C5MPMUZLgiSjbQQ0DuSu,
47,2026-02-26 02:12:34.488000+00:00,228.031723,3,https://bmanske505.github.io/Escape-The-Forest/,0.0181749742,1,54,WebGLPlayer,12ea51bf-5b57-4891-a08f-a0a9cb036581,1.0,CgA4KsSUIRxNIjEWnSdZ,
100,2026-02-25 01:55:30.780000+00:00,0.033,5,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0.0603870042,1,100,WebGLPlayer,48d112f6-a109-4804-95d5-fd9956b1ade6,1.0,DczIrWiccsG6W50BwU32,
