userId,sensitivity_y,domain,level,sensitivity_x,version,playthrough,platform,timestamp,_doc_id
98df4f7c-2f7d-4336-8e31-98e565231e8f,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,100,1.0,1,WebGLPlayer,2026-02-25 02:41:19.853000+00:00,hqzzaGcFrv1qVUupGIeP
48d112f6-a109-4804-95d5-fd9956b1ade6,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,100,1.0,1,WebGLPlayer,2026-02-25 01:52:59.394000+00:00,i2oQ6aMgWTcpd5eguCk4
98df4f7c-2f7d-4336-8e31-98e565231e8f,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,100,1.0,1,WebGLPlayer,2026-02-25 02:43:36.943000+00:00,ijblsgmWG9zCEGLqpu00
10399faa-8e46-46d7-95ef-6e50cb706ee6,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,5,100,1.0,1,WebGLPlayer,2026-02-25 05:50:39.398000+00:00,iq2wrfJo6rCojd76g69V
05c9809b-f15b-4a30-af0c-d20d66f6c816,100,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,3,100,1.0,1,WebGLPlayer,2026-02-26 06:50:45.124000+00:00,jhb5pdEE2Q9rsY63YnJm
2b5f5563-355f-4ed4-be41-a21cfbb88aea,100,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,4,100,1.0,1,WebGLPlayer,2026-02-26 03:59:32.605000+00:00,kDdi7pfYmg2nyGlujqjo
d9490c57-0d14-4cf4-a6d5-6ac9f005e219,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,100,1.0,2,WebGLPlayer,2026-02-25 04:21:12.864000+00:00,m3FZD0mb2gcFle5spSew
10399faa-8e46-46d7-95ef-6e50cb706ee6,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,100,1.0,1,WebGLPlayer,2026-02-25 05:43:46.686000+00:00,mdM09CJBDzi1ovj7MJkP
7df36adf-44de-4187-9323-696cee2fb545,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,5,100,1.0,1,WebGLPlayer,2026-02-25 05:29:52.193000+00:00,mmECyLFqARdRoy4L8Coj
12ea51bf-5b57-4891-a08f-a0a9cb036581,47,https://bmanske505.github.io/Escape-The-Forest/,4,54,1.0,1,WebGLPlayer,2026-02-26 02:13:27.476000+00:00,nA5iSAONPOQRyYnvmcRS
70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,100,1.0,1,WebGLPlayer,2026-02-25 05:08:17.483000+00:00,nRnauHGjFBruEAxewWES
fb093188-7616-4e0f-8509-4279e51245ec,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,6,100,1.0,1,WebGLPlayer,2026-02-25 05:46:43.082000+00:00,nS6ztTHnHZ7BTcMaMUw3
2b5f5563-355f-4ed4-be41-a21cfbb88aea,100,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,4,100,1.0,1,WebGLPlayer,2026-02-26 03:43:56.166000+00:00,noj6BBHIguGqnfsNjiLX
fb093188-7616-4e0f-8509-4279e51245ec,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,6,100,1.0,1,WebGLPlayer,2026-02-25 05:45:13.572000+00:00,r2pD7azyQB9Br3EHGslB
fb093188-7616-4e0f-8509-4279e51245ec,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,6,100,1.0,1,WebGLPlayer,2026-02-25 05:51:35.217000+00:00,rj9pa10UBNxXf2ROkoZI
2b5f5563-355f-4ed4-be41-a21cfbb88aea,100,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,6,100,1.0,1,WebGLPlayer,2026-02-26 04:12:32.965000+00:00,tZS59fkyXzxRQAun8MwP
10399faa-8e46-46d7-95ef-6e50cb706ee6,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,5,100,1.0,1,WebGLPlayer,2026-02-25 05:49:43.217000+00:00,u66El66HBPgsUWUVcQZH
d9490c57-0d14-4cf4-a6d5-6ac9f005e219,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,100,1.0,2,WebGLPlayer,2026-02-25 04:45:30.022000+00:00,vLZo9m9ZQ5u3IqDXjEnH
2b5f5563-355f-4ed4-be41-a21cfbb88aea,100,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,5,100,1.0,1,WebGLPlayer,2026-02-26 04:09:42.568000+00:00,wdnR1DvBbwxdQRt8I9K2
5559dbb6-6a01-4a3f-bb34-05607bbc4d07,100,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,3,100,1.0,1,WebGLPlayer,2026-02-26 02:20:37.066000+00:00,xE2inBpE9SC8mhZhwjTv
48d112f6-a109-4804-95d5-fd9956b1ade6,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,100,1.0,1,WebGLPlayer,2026-02-25 01:54:29.426000+00:00,yICXtnOl2qtaIj7TY6qd
d9490c57-0d14-4cf4-a6d5-6ac9f005e219,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,100,1.0,2,WebGLPlayer,2026-02-25 05:06:39.671000+00:00,yZHL5XSh3RY2ToCijggl
48d112f6-a109-4804-95d5-fd9956b1ade6,100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,3,100,1.0,1,WebGLPlayer,2026-02-25 01:48:58.772000+00:00,z4ZBD4HGO0imGAIPSZes
2b5f5563-355f-4ed4-be41-a21cfbb88aea,100,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,4,100,1.0,1,WebGLPlayer,2026-02-26 03:50:05.818000+00:00,zaGAwT8PNGGTLmjnseEE
